"author1";"author2";"count(*)"
"Douglas Tudhope";"Ernesto William De Luca";"1"
"Douglas Tudhope";"George Buchanan";"1"
"Douglas Tudhope";"Harith Alani";"1"
"Douglas Tudhope";"Hilary Jones";"1"
"Douglas Tudhope";"Jae-wook Ahn";"1"
"Douglas Tudhope";"Janine Rigby";"1"
"Douglas Tudhope";"Koraljka Golub";"3"
"Douglas Tudhope";"Marcia Lei Zeng";"1"
"Douglas Tudhope";"Marianne Lykke Nielsen";"2"
"Douglas Tudhope";"Michael Khoo";"2"
"Douglas Tudhope";"Philipp Mayr";"2"
"Douglas Tudhope";"Stella Dextre Clarke";"1"
"Douglas Tudhope";"Traugott Koch";"1"
"Douglas Tudhope";"Vanda Broughton";"1"
"Douglas Tudhope";"Xia Lin";"2"
"Ed Summers";"Jon Phipps";"1"
"Ed Summers";"Rebecca Guenther";"1"
"Edward Fox";"Naren Ramakrishnan";"1"
"Edward Fox";"Ryan Richardson";"1"
"Edward Fox";"Steve Sheetz";"1"
"Edward Fox";"Uma Murthy";"1"
"Edward Fox";"Venkataraghavan Srinivasan";"1"
"Eko Indarto";"Marat Charlaganov";"1"
"Elin K. Jacob";"Gary Arave";"1"
"Elin K. Jacob";"Nicolas L. George";"1"
"Emlyn Everitt";"George Buchanan";"1"
"Emlyn Everitt";"Koraljka Golub";"1"
"Emlyn Everitt";"Marianne Lykke Nielsen";"1"
"Emlyn Everitt";"Vanda Broughton";"1"
"Emma Tonkin";"Eva Mendéz";"1"
"Emma Tonkin";"Liddy Neville";"1"
"Emma Tonkin";"Seth van Hooland";"1"
"Eric Kansa";"Patrick Golden";"2"
"Eric Kansa";"Ryan Shaw";"2"
"Ernesto William De Luca";"Koraljka Golub";"1"
"Ernesto William De Luca";"Philipp Mayr";"1"
"Eva Méndez";"Gema Bueno de la Fuente";"1"
"Eva Méndez";"Jane Greenberg";"1"
"Eva Méndez";"Joan Boone";"1"
"Eva Mendéz";"Liddy Neville";"1"
"Eva Méndez";"Liliana Melgar";"1"
"Eva Méndez";"Nancy Gómez";"1"
"Eva Mendéz";"Seth van Hooland";"1"
"Fakhri Momeni";"Philipp Mayr";"1"
"Farah Gheriss";"George Thomas";"1"
"Farah Gheriss";"Helga Rippen";"1"
"Farah Gheriss";"Joe Hilger";"1"
"Farah Gheriss";"Leslie Mitchell";"1"
"Felix Boteram";"Jessica Hubrich";"1"
"Franca Giannini";"Monica De Martino";"1"
"Franca Giannini";"Riccardo Albertoni";"1"
"Franco Niccolucci";"Martin Doerr";"1"
"Franco Niccolucci";"Paola Ronzino";"1"
"Franco Niccolucci";"Sorin Hermon";"1"
"Frehiwot Fisseha";"Johannes Keizer";"2"
"Frehiwot Fisseha";"Patrick Healey";"1"
"Frehiwot Fisseha";"Stephen Katz";"1"
"Gail Hodge";"Janet Ormes";"1"
"Gail Hodge";"Patrick Healey";"1"
"Gary Arave";"Nicolas L. George";"1"
"Gema Bueno de la Fuente";"Jane Greenberg";"1"
"Gema Bueno de la Fuente";"Joan Boone";"1"
"Gema Bueno de la Fuente";"Liliana Melgar";"1"
"Gema Bueno de la Fuente";"Nancy Gómez";"1"
"George Buchanan";"Koraljka Golub";"1"
"George Buchanan";"Marianne Lykke Nielsen";"1"
"George Buchanan";"Vanda Broughton";"1"
"George Thomas";"Helga Rippen";"1"
"George Thomas";"Joe Hilger";"1"
"George Thomas";"Leslie Mitchell";"1"
"Gilles Falquet";"Jean-Claude Ziswiler";"2"
"Gilles Falquet";"Luka Nerima";"2"
"Gudrun Johannsen";"Imma Subirats";"1"
"Gudrun Johannsen";"Johannes Keizer";"2"
"Gudrun Johannsen";"Philipp Mayr";"1"
"Gudrun Johannsen";"Sachit Rajbhandari";"1"
"Gudrun Johannsen";"Yves Jacques";"1"
"Gudrun Richardson";"Humphrey Southall";"1"
"Guus Schreiber";"Jacco van Ossenbruggen";"1"
"Guus Schreiber";"Jan Wielemaker";"1"
"Guus Schreiber";"Victor de Boer";"1"
"H. Lundbeck";"Hella Moller Rasmussen";"1"
"H. Lundbeck";"Marianne Lykke Nielsen";"2"
"Han-wei Yen";"Hsiung-ming Liaw";"1"
"Han-wei Yen";"Sophy Shu-Jiun Chen";"1"
"Han-wei Yen";"Ya-ning Chen";"1"
"Harald Sack";"Johannes Hercher";"1"
"Heike Neuroth";"Traugott Koch";"1"
"Helga Rippen";"Joe Hilger";"1"
"Helga Rippen";"Leslie Mitchell";"1"
"Hella Moller Rasmussen";"Marianne Lykke Nielsen";"1"
"Helmut Nagy";"Thomas Schandl";"1"
"Henryk Rybinski";"Michal Okoniewski";"1"
"Henryk Rybinski";"Piotr Gawrysiak";"1"
"Hilary Jones";"Jae-wook Ahn";"1"
"Hilary Jones";"Michael Khoo";"1"
"Hilary Jones";"Xia Lin";"1"
"Howard D. White";"Philipp Mayr";"1"
"Hsiung-ming Liaw";"Sophy Shu-Jiun Chen";"1"
"Hsiung-ming Liaw";"Ya-ning Chen";"1"
"Hsueh-hua Chen";"Marcia Lei Zeng";"1"
"Hsueh-hua Chen";"Sophy Shu-Jiun Chen";"1"
"Hugo Manguinhas";"Jos{\'e} Borbinha";"1"
"Hugo Manguinhas";"Maarten Brinkerink";"1"
"Hugo Manguinhas";"Michiel Hildebrand";"1"
"Hugo Manguinhas";"Sergiu Gordea";"1"
"Hugo Manguinhas";"Tom Miles";"1"
"Hugo Manguinhas";"Valentine Charles";"1"
"Hugo Manguinhas";"V{\'{e}}ronique Ginouv{\`{e}}s";"1"
"Imma Subirats";"Johannes Keizer";"1"
"Imma Subirats";"Sachit Rajbhandari";"1"
"Imma Subirats";"Yves Jacques";"1"
"J. F. Terwilliger";"J. Logan";"1"
"J. F. Terwilliger";"L. M. L. Delcambre";"1"
"J. Logan";"L. M. L. Delcambre";"1"
"Jacco van Ossenbruggen";"Jan Wielemaker";"1"
"Jacco van Ossenbruggen";"Victor de Boer";"1"
"Jae-wook Ahn";"Michael Khoo";"1"
"Jae-wook Ahn";"Xia Lin";"2"
"Jake Spiegler";"Thomas Burdick";"1"
"Jakob Voß";"Uma Balakrishnan";"1"
"Jan Buzydlowski";"Lillian Cassel";"1"
"Jan Buzydlowski";"Xia Lin";"1"
"Jan Wielemaker";"Victor de Boer";"1"
"Jane Greenberg";"Joan Boone";"1"
"Jane Greenberg";"Liliana Melgar";"1"
"Jane Greenberg";"Nancy Gómez";"1"
"Janet Ormes";"Patrick Healey";"1"
"Jean Delahousse";"Johan De Smedt";"1"
"Jean-Claude Ziswiler";"Luka Nerima";"2"
"Jennifer Trant";"steve.museum project";"1"
"Jian Qin";"Marcia Lei Zeng";"1"
"Jinhyeong Lee";"Sam Oh";"1"
"Jinhyeong Lee";"Seonghun Kim";"1"
"Joachim Neubert";"Timo Borst";"1"
"Joan Boone";"Liliana Melgar";"1"
"Joan Boone";"Nancy Gómez";"1"
"Joe Hilger";"Leslie Mitchell";"1"
"Johan De Smedt";"Stella Dextre Clarke";"1"
"Johanna Eerola";"Pertti Vakkari";"1"
"Johannes Keizer";"M. Sini";"1"
"Johannes Keizer";"Patrick Healey";"1"
"Johannes Keizer";"Philipp Mayr";"1"
"Johannes Keizer";"Sachit Rajbhandari";"1"
"Johannes Keizer";"Stephen Katz";"2"
"Johannes Keizer";"Yves Jacques";"1"
"Joseph Busch";"Vivian Bliss";"1"
"Julaine Clunis";"Marcia Lei Zeng";"1"
"Julaine Clunis";"Vladimir Alexiev";"1"
"Jutta Lindenthal";"Vladimir Alexiev";"2"
"Kai Eckert";"Magnus Pfeffer";"1"
"Karen F. Gracy";"Marcia Lei Zeng";"1"
"Karen F. Gracy";"Sammy Davidson";"1"
"Karolina Suchowolec";"Roman Schneider";"1"
"Koraljka Golub";"Marianne Lykke Nielsen";"1"
"Koraljka Golub";"Philipp Mayr";"1"
"Koraljka Golub";"Vanda Broughton";"1"
"L. M. L. Delcambre";"Marianne Lykke Nielsen";"5"
"L. M. L. Delcambre";"Mathew J. Weaver";"2"
"L. M. L. Delcambre";"Susan Price";"3"
"L. M. L. Delcambre";"Timothy Tolle";"2"
"Laurel Tarulli";"Louise Spiteri";"1"
"Liddy Neville";"Seth van Hooland";"1"
"Liliana Melgar";"Nancy Gómez";"1"
"Lillian Cassel";"Xia Lin";"1"
"Linda Hill";"Traugott Koch";"1"
"Liu Xiu Min";"Liu Zheng";"1"
"Liu Xiu Min";"Sheng Chun Lei";"1"
"Liu Xiu Min";"Sun Tan";"1"
"Liu Zheng";"Sheng Chun Lei";"1"
"Liu Zheng";"Sun Tan";"1"
"M. Sini";"Stephen Katz";"1"
"Maarten Brinkerink";"Michiel Hildebrand";"1"
"Maarten Brinkerink";"Sergiu Gordea";"1"
"Maarten Brinkerink";"Tom Miles";"1"
"Maarten Brinkerink";"Valentine Charles";"1"
"Maarten Brinkerink";"V{\'{e}}ronique Ginouv{\`{e}}s";"1"
"Maja Zumer";"Marc{\'{i}}lio de Brito";"1"
"Maja Zumer";"Simone Vieira";"1"
"Maja Zumer";"Widad Mustafa El Hadi";"1"
"Manos Papagelis";"Martin Doerr";"1"
"Marcia Lei Zeng";"Philipp Mayr";"1"
"Marcia Lei Zeng";"Sammy Davidson";"1"
"Marcia Lei Zeng";"Sophy Shu-Jiun Chen";"1"
"Marcia Lei Zeng";"Stella Dextre Clarke";"1"
"Marcia Lei Zeng";"Sue Ellen Wright";"1"
"Marcia Lei Zeng";"Terence R. Smith";"2"
"Marcia Lei Zeng";"Vladimir Alexiev";"1"
"Marcia Lei Zeng";"Xia Lin";"1"
"Marc{\'{i}}lio de Brito";"Simone Vieira";"1"
"Marc{\'{i}}lio de Brito";"Widad Mustafa El Hadi";"1"
"Marianne Lykke Nielsen";"Mathew J. Weaver";"2"
"Marianne Lykke Nielsen";"Susan Price";"3"
"Marianne Lykke Nielsen";"Timothy Tolle";"2"
"Marianne Lykke Nielsen";"Vanda Broughton";"1"
"Markus Heckner";"Susanne Mühlbacher";"1"
"Martin Doerr";"Paola Ronzino";"1"
"Mateusz Kaczmarek";"Sebastian Ryszard Kruk";"1"
"Mathew J. Weaver";"Timothy Tolle";"2"
"Mathias Lux";"Peter Scheir";"1"
"Mathias Lux";"Stefanie Lindstaedt";"1"
"Matias Frosterus";"Mikko Lappalainen";"1"
"Michael Khoo";"Xia Lin";"1"
"Michael Wright";"Tamara Sumner";"1"
"Michal Okoniewski";"Piotr Gawrysiak";"1"
"Michiel Hildebrand";"Sergiu Gordea";"1"
"Michiel Hildebrand";"Tom Miles";"1"
"Michiel Hildebrand";"Valentine Charles";"1"
"Michiel Hildebrand";"V{\'{e}}ronique Ginouv{\`{e}}s";"1"
"Monica De Martino";"Riccardo Albertoni";"1"
"Murtha Baca";"Xia Lin";"1"
"Naren Ramakrishnan";"Steve Sheetz";"1"
"Naren Ramakrishnan";"Uma Murthy";"1"
"Naren Ramakrishnan";"Venkataraghavan Srinivasan";"1"
"P. Piotrowski";"Sebastian Ryszard Kruk";"1"
"P. Piotrowski";"T. Woroniecki";"1"
"Patrick Golden";"Ryan Shaw";"2"
"Peter Mutschke";"Philipp Mayr";"1"
"Peter Mutschke";"Philipp Schaer";"1"
"Peter Mutschke";"York Sure";"1"
"Peter Scheir";"Stefanie Lindstaedt";"1"
"Philip Hider";"Ying-Hsang Liu";"1"
"Philipp Mayr";"Philipp Schaer";"4"
"Philipp Mayr";"Sascha Schüller";"1"
"Philipp Mayr";"Stella Dextre Clarke";"1"
"Philipp Mayr";"Thomas Lüke";"2"
"Philipp Mayr";"Vivien Petras";"1"
"Philipp Mayr";"Wilko van Hoek";"2"
"Philipp Mayr";"Xia Lin";"1"
"Philipp Mayr";"York Sure";"2"
"Philipp Mayr";"Zeljko Carevic";"1"
"Philipp Schaer";"Thomas Lüke";"2"
"Philipp Schaer";"Wilko van Hoek";"1"
"Philipp Schaer";"York Sure";"3"
"Sachit Rajbhandari";"Yves Jacques";"1"
"Sam Oh";"Seonghun Kim";"1"
"Sam Oh";"Wnhong Jang";"1"
"Sascha Schüller";"Wilko van Hoek";"1"
"Sebastian Ryszard Kruk";"T. Woroniecki";"1"
"Sergiu Gordea";"Tom Miles";"1"
"Sergiu Gordea";"Valentine Charles";"1"
"Sergiu Gordea";"V{\'{e}}ronique Ginouv{\`{e}}s";"1"
"Sheng Chun Lei";"Sun Tan";"1"
"Simone Vieira";"Widad Mustafa El Hadi";"1"
"Sophy Shu-Jiun Chen";"Ya-ning Chen";"1"
"Stella Dextre Clarke";"Xia Lin";"1"
"Steve Sheetz";"Uma Murthy";"1"
"Steve Sheetz";"Venkataraghavan Srinivasan";"1"
"Thomas Lüke";"Wilko van Hoek";"1"
"Tom Miles";"Valentine Charles";"1"
"Tom Miles";"V{\'{e}}ronique Ginouv{\`{e}}s";"1"
"Uma Murthy";"Venkataraghavan Srinivasan";"1"
"Valentine Charles";"V{\'{e}}ronique Ginouv{\`{e}}s";"1"
