"178";"Report on and demonstration of the PeriodO period gazetteer";"Eric Kansa";"Ryan Shaw";"2015"
"180";"Mapping between linked data vocabularies in ARIADNE";"Ceri Binding";"Douglas Tudhope";"2015"
"188";"Interoperability of KOS Metadata Schemas in BARTOC and JSKOS";"Andreas Ledl";"Jakob Voß";"2016"
"191";"Building Semantic Tools for Concept-based Learning Spaces: Knowledge Bases of Strongly-Structured Models for Scientific Concepts in Advanced Digital Libraries";"Marcia Lei Zeng";"Terence R. Smith";"2004"
"192";"Reengineering Thesauri for New Applications: the AGROVOC Example";"Boris Lauser";"Dagobert Soergel";"2004"
"192";"Reengineering Thesauri for New Applications: the AGROVOC Example";"Anita Liang";"Dagobert Soergel";"2004"
"194";"Vocabulary Mapping for Terminology Services";"Carol Hickey";"Diane Vizine-Goetz";"2004"
"194";"Vocabulary Mapping for Terminology Services";"Andrew Houghton";"Diane Vizine-Goetz";"2004"
"195";"Augmenting thesaurus relationships: possibilities for retrieval";"Christopher Jones";"Douglas Tudhope";"2001"
"200";"Having the right connections: the LIMBER project";"Brian Matthews";"Ken Miller";"2001"
"214";"A method for estimating the precision pf place name matching";"Manos Papagelis";"Martin Doerr";"2004"
"218";"Developing a tool for searching and learning - the potential of an enriched end user thesaurus";"H. Lundbeck";"Hella Moller Rasmussen";"2004"
"219";"Dynamic KOS building *** management for library information systems";"Henryk Rybinski";"Piotr Gawrysiak";"2004"
"219";"Dynamic KOS building *** management for library information systems";"Michal Okoniewski";"Piotr Gawrysiak";"2004"
"220";"Knowledge Structures for a Domain-Specific Digital Library for Natural Resource Managers";"Marianne Lykke Nielsen";"Mathew J. Weaver";"2004"
"220";"Knowledge Structures for a Domain-Specific Digital Library for Natural Resource Managers";"Lois Delcambre";"Mathew J. Weaver";"2004"
"223";"The NSDL Strand Map Service: A Networked Knowledge Organization and Visualization System for K-12 Education";"Michael Wright";"Tamara Sumner";"2004"
